,id,name,genres,followers,popularity
0,62YrFTNsvk3gn85GHiUSDT,Murray Grindlay,[],29,0
1,4P4mntt5eK3rxanV4OIVqe,Andrey Sigle,[],38,0
2,2ApRYs5FMpuMtUXueCB6x5,Kurt Swinghammer,[],129,0
3,2dkyZHLWCFi08dA86UDu1A,Stefan Nilsson,[],2379,33
4,67Us3XBdb0XDmAGuhYiGMs,Ray Ellis,[],151,0
5,3fCQnw6VSudXBTN5d2QP2z,Gary Lightbody,['british singer-songwriter'],9354,52
6,6RsX7qYw5KVKiOjS8BxjL5,William Walton,"['british modern classical', 'early modern classical']",7141,46
7,4Gx8e7bdRJdkdhGGF5TNwg,Michael Yezerski,['oceania soundtrack'],661,11
8,5scQSrIKJHCtLcIaBAqKFh,Anton Sanko,['soundtrack'],881,18
9,0ZpOIHGVsM7vMZqPt4i214,Alan Parker,['library music'],5220,22
10,2LgKrgRJcbJlt14i1LTzDU,Amit Mishra,"['filmi', 'modern bollywood']",800938,55
11,57YpnyjNxgGU23SYcjWCv5,Curt Sobel,[],31,0
12,5ne9bUREhqkJfDWlIEPcFS,David McHugh,[],23,0
13,7aOT0TgD7NSWlHMKHhoA6X,Berndt Egerbladh,"['hammond organ', 'spiritual jazz']",213,3
14,5MwQBuYuEnf6hLsupDJ0Um,Keith Emerson,"['progressive rock', 'rock keyboard', 'symphonic rock']",84186,22
15,2Z9iTTyXeebdvnMzc8xlvX,Michael Weiner,[],70,4
16,3oSDwkoxvCDQLcPYebh8R7,Mundell Lowe,['jazz guitar'],1426,10
17,6RwUkJwCo9vHoolEopAr3m,Artie Kane,[],519,27
18,0sqfioVq0W7KyfszjuiDMu,Peter Buck,[],1321,12
19,0zvND4IqnGShzA7X47MIkp,The Burkharts,['buffalo ny indie'],8001,26
20,0oXvy7rBfgMJgP42twY44G,Robert Een,['american contemporary classical'],217,11
21,5MhLmv7GgyjbxGqiIGasvT,Jean-Michel Jarre,"['laboratorio', 'synthesizer', 'vintage french electronic']",566906,52
22,7mEIug7XUlQHikrFxjTWes,Neil Diamond,"['adult standards', 'brill building pop', 'folk rock', 'heartland rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",2595986,64
23,3HfparDnTMwXrAehEEwnOJ,Fabio Pignatelli,['vintage italian soundtrack'],364,19
24,09HgA1NfzCiz6XF8IAgulg,Kevin Barsness,[],52,23
25,3JU9NLB27wyGhbwbApR9uy,Olivia Belli,['neo-classical'],19773,51
26,2zgrDoAF3EAXjOS5Ezh4co,Michael Stevens,[],163,8
27,0zlJDQgqnr9AocrH9gs1Es,Lyle Lovett,"['classic texas country', 'country rock', 'folk', 'heartland rock', 'outlaw country', 'roots rock', 'singer-songwriter']",201926,51
28,4RsRmCGtK9yJmtQulq4lBo,Jill Vidal,['cantopop'],23381,27
29,7MOUyX1yT017l1Zt0mExIA,Harold Arlen,['tin pan alley'],2743,30
30,1Os8dbAw15y0pCfTZH0Sq0,Neil Innes,[],4388,7
31,7xigpHoyAlyIK1fh3NrjtZ,Steven Lindsey,[],1,0
32,0A8tch4LePxVn1Cn60wGXu,Warren Ellis,['oceania soundtrack'],36391,41
33,7AFvsf67oENSC4bEbcNpPl,Koichi Shimizu,[],500,2
34,6kPXSxu57IaU9obkLdio4F,Vichaya Vatanasapt,[],1356,23
35,17hR0sYHpx7VYTMRfFUOmY,Maurice Ravel,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",483206,57
36,3rxIQc9kWT6Ueg4BhnOwRK,Quincy Jones,['soul jazz'],317797,53
37,5PC9PQu8Lbu3Ynr5Kyutw1,Ronen Landa,[],127,5
38,5HxxQWbYtQSFMKTjx9LPtZ,Frank Churchill,['movie tunes'],6265,36
39,2KfJrMvznoPCWHSvotUsEm,Robert J. Kral,[],1123,9
40,3kjqCOTD5l4VTHHOzX2W83,Samuel Scott McCumber,[],979,4
41,0mCdmt2O8dd8jJWv7m24EE,David Arnold,"['british soundtrack', 'soundtrack']",35701,51
42,6Jt3T3r5FQJxiMjrIpB1ES,Michael McCarthy,[],138,20
43,2EEw2tt8AJcH9qXUeB96Oc,Will Oldham,['alternative country'],25153,24
44,4bYBV1q22KJiyT0z1pxFLK,Philippe Sarde,['french soundtrack'],10945,44
45,6FdB2vcrRmzkEM8mDOEEZa,Ranjit Barot,[],5629,24
46,40DqL6Tv84cKT2pH2NMs9r,Roger Waters,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'symphonic rock']",1495877,54
47,0RYyGExpy57GLGa1GtFoVo,Nino Rota,"['classic soundtrack', 'italian soundtrack', 'orchestral soundtrack', 'vintage italian soundtrack']",112784,51
48,6umumEdRXtrp8Gk8SST5UO,Bronisław Kaper,['classic soundtrack'],679,8
49,6jlwBcuB3gOuSR4Hb6MmVU,Richard Carter,[],25245,59
50,2BGRfQgtzikz1pzAD0kaEn,Elvis Costello,"['new wave', 'new wave pop', 'permanent wave', 'power pop', 'singer-songwriter']",546416,53
51,2jsJgibPMeaVKHbUCpdauN,Rune Realms,['dungeon synth'],2400,21
