,movie_name,release_date,movie_revenue,composer_name,album_id,track_ids
10,The Haunting in Connecticut,2009,77527732.0,Robert J. Kral,0UqPNW0ZN7uqvGWyqR0Iy2,"['5BzWfO81PPpfbVB4P2dAs1', '5RmJXFYMcfy4Mqcxy8Bq5H', '1tVr0Nz20lcfHP7MAf5UOH', '6fEjEjWPRWWpykumhzhFdw', '6meUrsVyuJF2lzRKwra9Vp', '3xY9txRUEIs1MAO02E4uGu', '3VUyxnMuEuOCimPutpWewj', '72axOqtU3wOJ3TOZpIf7Mx', '51PQoyU3BnWZK5AMLUrPjT', '4E1wjusqWsRk2IPAN1Rk3C', '64GiDOzau9f1YfpkF4Dasv', '18rGQWQu4G74suwWFIyrw8', '5aHjHWxzObCVmJp1ReIbUl', '2nBZ5WM0blpuBpONhIkgLT', '0ODX6jWpMNDpeTehI29Kki', '5I5Z3g3soWHr0yt7Fvd6kf', '6i9xgPYMs56k6NTcF718G3', '62LkNPFejNUAefqKOk2DGP', '1f9bCPvErAQgbzN55YOUlU', '210EWVv4wIduFhpEm2ChdG']"
11,Independence Day,1996,817400891.0,David Arnold,0OOwpWVLZPD4Sj2xS8cXBb,"['55wCF9W3qhC2CWQxucgLKz', '605PBQZf0S3uYbaWKEYTkS', '3HLGmmCBLJGnUGpGPttA0H', '1IllGSocxjY9P4CzaZ3Ei7', '0tRW3HPI5GPxJDgBBs3VYX', '2gmaN70YXso1BIdSmGEovv', '4UaBcVjCtuVSlVI1TbO2Tu', '4raTXOUOZ2zASBV4mLMi9a', '6sXpl54FRmuHWuuGUmJZaQ', '1fJmAJJYT4oZ9gI9S6ToAP', '2gzKEX5igC29mOto9MOBHN', '6UuWNI1giJdOfUM2j8fEwI', '0lKd98eHHZVnpzFi8Ckw0R', '0KtiF2eGDYVUiCzYWaxIl8']"
12,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,415686217.0,David Arnold,0L2WN9LAyXX4ESG8BcDmPc,"['6eX3c7lUFeXAX0CFWOkLAB', '7ujVvh0Ops5ZaGkCcYcR7U', '4xPVOU94YNBNs5rf2O9751', '5h5YV42ILaQ6V8rvhgZa5x', '1TAY7o9cYGqkXaUPDmSwri', '0xzzGDJ1yWHT2CECRRfejb', '5zXdatxtzTszKnmRwUhACe', '1Cwb7Pd5m2LNjjczOLxdD0', '0DXEqf5iEKNVsnnKS0ES29', '3D3ZBbYGooljDuEOaekWKC', '7kcRNDP6cJAd0eyLLOy9bA', '4389qsIETaKsScztzB2dME', '5dR1ZIp5c3mT5UMkXmuxGY', '5rHmhoWK7pNt9MDzv0iQDw', '7iORngRurmasiE2Pu9IWSM', '2BZFFMujcQZfQuWaecYrwS', '5DuntGSUAzzFSbNDVzri63', '733v7iktsM6h3IgjdHWRQO', '732ocAIPIuykKolDdzBNsB', '5rHQojZqXUDG30qMOE0xQW']"
13,Godzilla,1998,379014294.0,David Arnold,0ZnQTxbohlPzuTMTB3HleE,"['7hXoISMbDoPK0Z51HmhGwt', '1zLzzSMY908E3J2VMiMB1f', '66oOcJMSkyTf9mjML3GUyr', '5MzhfnyleWwDozKzGQHBdN', '1ImtQO8UhRVL89k9cMYkTD', '28VR4DEmRSES7C0jlfEYQY', '1PqFFMW834TgJS1qzF31Jh', '2ZAEjL8wG09iROJ5q7Ke4Y', '35XIJFbRgtibZvgU4uhAoN', '0qfmpaPpUi5xIb5WPFlQUQ', '0vw1tPiaAklPk4ajU5ombd', '3JlKa2A2J94I5XsimhqHU2', '0KT2T1GnE3djZoaHlRj5m8', '1t4WMAjh9SuXrJZVeFwZUO', '2qGsZiKXQhaskLl9yahe5m']"
14,The World Is Not Enough,1999,361700000.0,David Arnold,39yJXK8vsNtRui2NQFBShp,"['5wpSllGrccKj75Bj7e51Kj', '3PiS8sDfURlO44RLVU2LWo', '6y9x9RtvauSuYyMZbEWCXR', '5ztpvdpqnBASpR8h840TfA', '5keZL6dhhe4xrT8DdBAvfA', '5tdLDW09ogNmYSYIxxHAiU', '4gpXHa7LJXJJP3gq5UhY5F', '7joAcBou8yk5kR3nIy7kJR', '0moLHxcr0yLp3Y4NL8UCdq', '0rZbJWwM5ggIRb2SHq1XKJ', '6sZdhgGS66lcBAYuZUlXR3', '4BmurbIrS48N4v9RZoUpGg', '1ygu0OpveO4FAQhKejRDb7', '5jERhjJ1MOJ8LI9V1mabxa', '4Veav9XxQ0HzzM98Bkotto', '3CZhrq95tDM2NlW6ZdJDHY', '4043d8cETqcE6AL6N5tbDr', '1AVuvllsho8iog0MPTT1EL', '10j7Vu1vtRebMj799gu2VJ']"
15,2 Fast 2 Furious,2003,236350661.0,David Arnold,1cInbcKRuvIvW8pj9daIJU,"['15zVegPSwkZb5K5TrpegaN', '28mv40MzspRZn0PBcO2itT', '1YOM6R4Hxz8ohql6EbtsqM', '2gK8fwlPdeh3E88B2ocdW9', '5zvGov0gUzQNxjUxNsvYGv', '0CJmYEsImHZ42f7W6ntlX2', '5ELcQ66F6oqhZJNqQLnFcQ', '4SDOphRPHEreh9K8awwtJX', '6AOGwXnlNqotnXdza8Rb7m', '0DdOWdYlhf3PWjnUbEgE4R', '3voXGBPL6IP2yEQDlK3bCe', '2KRhyDG5uY0Bb7YTmwgcj9', '5km67logemmm3osb5LwjSD', '4PRdy0sDGLHl0H2M5JhMH8', '35VFenXHO0oWYugtj94zgi', '6GGoV7qKmPSif32YZgsDAw', '75QR7qN7XFU6EYosOKqbbe']"
16,Shaft,2000,107196498.0,David Arnold,2xBWVLXiR7pkSkVX4smCyn,"['58U9EZrrII7dYz41A7lCN8', '2gFw6UvzSMeRq9WakT9PpG', '0g0xEZWPrwpr2nzmN4cUSq', '4DFmj9bOVyzaYsp5LSboKn', '4VwYcWF9HshelTy7Hc8kqw', '2YRtkyasJI4ca3LiXlI7Bf', '5lwrwIpiCoY3LZdsJtjEsQ', '4cKjOaYY31LHnYRPDUhFsL', '4MTXcVaMFBh5mhNanIOmNb', '6AB5ZJTGBattIL5Q1lekFm', '79u0x1rPZF285GaM6ySvpi', '2Tbc4ei9SS4aXpy270iAOT', '3Zn480WUfxUbeS1QCvCEHZ', '7AzUROwsRWUi0knuoMoIat', '14ye1aCtVdPrM4c9hxr8ju', '1R0C9VO0D33ssZH6JBSgKR']"
17,Four Brothers,2005,92494381.0,David Arnold,77Au7fzif5P8A95XSjDTL2,"['0N5c1GspIwQ5KkpZCXwofm', '55op02voempkrfgMGaReoh', '5xqPXJyFYEFI30N6kcZRrj', '6axlB14g0rh8YRCSeK8R5m', '4jwwR3H8ARJcuOqB7Hhz9C', '7yxkUamfdRreQ2UWuJgz7f', '1hEOVjmeclC6yjZt9lEdgV', '6Ke3Z8fKER9kVvoVX1IhT5', '5DBynjqFr3KNq6K282JKbe', '2pKK9hr252UjFTcDoaqSQY', '2b8YeyxoAR6ilpAonECpns', '1B5P6331E87VVwpWi01VwL', '3cLbdbOV20WnKkZSstZfhF']"
18,The Musketeer,2001,34585771.0,David Arnold,5wVLwarr0v8s1AjT9kOpGg,"['1wAWSI26Poqug0mJC22vu3', '5NjN9Xyfla85O13ik3X3dc', '14wATY6myyuA93VzrhlWs5', '2MhHyfieG4C9SYD6R5255d', '6jPPZURflKBhp4M7OIKHHe', '6ifgFmmp01xFXT5SfxWK9D', '7CsPD6HLxBNslFxPldL5YE', '2Goadswr8H02Eoipox7pSE', '4Lct73jHrFXNCjQu27c35U', '2iszgi223j7Wcblj0OYmYb', '0LAymRQnfVbTygqXeVWjar', '6nj0NbtMR1nj9LrP3Ws4si', '6ilFLDB5zxMlmiu06DmCs1', '7ierJsafygFTVqShn5WrC9', '6Wqf8YTWq9hltf2kgGP36i', '4gbWSVtJj6om2hiMvxCLxx', '35QjS8tyLJemxaKFouNgtI']"
19,Baby Boy,2001,29381649.0,David Arnold,3eqfhoDLLNMIxmbCYmVyvs,"['06nUWhYK6K2jKeixeDBSEn', '0YDYMz9BP602o75O9jgr6l', '7LjAVWY4Aqq5CtyXc8A7Eu', '4ZFYM5DGTg5rGLXAC8k1pk', '35RjsFUIHqPMe232X5myRM', '76SEiZRmm9YLfLVZwYksXc', '2eSJDvmUazqw2HpeRTCNQw', '54o1ghlRw3HO4ZtaGnOrQ7', '4G0YLB5vnrbjG5cob2EFPA', '4G4II92mCTvcthw8uZdJ4o', '5sXWE6Y3BH4xf3LxJLO34O', '3uW7o4ZTIuRwEBafTqEW6m', '2km4HYFaN9xGcM9F5olu96', '2YCfFh9EQOEZc6F9XYZ6MP', '6mhQvGJW8xmkPjr5h4I4ec', '4GkK5uWJHjYhlfzpHdqQ4A', '7okGDNz45xJ2pwf8NXVa5D', '63L7m2NzyKp7PbIzSZZRtR', '5D18KYijSvjUNYGCADnQno']"
20,How to Lose Friends & Alienate People,2008,19151797.0,David Arnold,61CNTd8xJvrNW99eFe1qrN,"['4WgxZlcI4WHpiYtZ9r3eqM', '3CrChEFKLfP5RlTgvJesfb', '4bdSeeZn2UpPmYrkyZeDRo', '5Ia6nse6BPrAoqc4Oa5ccs', '6G0JbjbVH6sOTxwhSlWZuA', '7iYCsnLlVwiWorT2iI727g', '1q7gKYXx9OQVYJswSFgu46', '2wGsTfVVI2VKWzS9ztqCqA', '0yJfw6fNIExKePZDEqw6nX', '0URipxGsgT1bnIkUNYoYx6', '3iXOpk22hL3Y0t6YmZzsmb', '4GUOThp0qfn7JUzI2YCHEW', '7l5Q9RB8qKc0qazmM53cMO', '14O8tDWAhznwmDPg8Kyfub', '7k6JfIc2aNQPl6JCwq2BPk', '70hrmehoScpy0Kt1QJgzRU', '2QfCPqO7Zb1bj8TnJ9KEL3', '1KxjAlHkvv5eQl7Rm60ERz']"
21,Made in Dagenham,2010,12395087.0,David Arnold,78Znpw30PQuHhWxSRb7Qjk,"['0aLzCQe4yrcQLAI4BZjt8k', '7HPchzm6lB30nxE8sfC75O', '1qCWKbDNMtMIPcUSSBzL3E', '7JGtxlAuVGrOSqck7mHuFD', '2BQUllYGyEaKIlhXu78Lfk', '2XehmYehDRL2L0V76savfY', '1WEzL4VoeYHI9B4hkJQDM8', '6oPPYUoFbiwXZuMeLvfEef', '6TDsji5qDiP9BzGJJfpqfB', '2UHCWMCYqWjRH1wsgrJUUU', '1xao6lEKuayK2Oy7bSGDJd', '7K8PzbM8ELPJxhIiHc0Lrh', '3zVkhHadVOrPSSF90cXpzE', '6VffPCNECOCFXaG6fjYini', '1QYy1qAWtjENdz6a7UGfVL', '4aRg1Yk1WEktQcfMy9149v', '5dbbe5hPImuOhPklC7Ax7T']"
22,Lucie Aubrac,1997,458557.0,Philippe Sarde,6reE41mUfJO4Xcs04oQfP4,"['3XX3STipQxjDIBdXrB8Mjg', '0YjuTmpjq0GK2AYlFJQmQw', '1sOsiwiYX6ITAMfDyaIGjB', '2bOaNMKeGJdc134J4EhXo1', '6QOHv8CBXpR0DK8PKXhlsi', '4sH0up6MZVjrbUAtsVWNeT']"
23,Fiza,2000,623791.0,Ranjit Barot,70pmpUOtbnOc5YtuH20ehU,"['0D0lefqSgNAAoXfuQgsRUo', '2RpwGJe2lx8CD5XHRqXeD4', '6weGsPiqGa7L02ezxeHZoQ', '3FYF7GwOIsDE81mFVFrBoY', '7xNesrcsdqTOh3S4o8vUTF', '6r8yLkI2IOcPU0RpoZRUwl', '4vaaY0PJMoPrSwY5s2ZYtk', '6YRCXoIpxIq21gJuQiK0OI', '56mDIh8wunKXzZeu0lRMi8', '31pZMCF5W2VCK50Q1xISM4', '1t6c7Gb8PO3RjuTbibBU4D', '6e1N0NntpU54JhakgP32nn', '3CDB6v2zbmSKnGX2A26GLy', '0XCR5wbjhQS0NfDouZLBf2', '6K3rkeCzEr17vY1qWaIz6z', '2a6AS0NeYVGLTcTlxvz1X4']"
24,The Godfather,1972,268500000.0,Nino Rota,7hBpMvQgZzFVt8LQOsUJFY,"['0OJ0eNR9c53PkfXuwX3DJ0', '7C7VLxXI4bX0JWzWVBRaTH']"
25,The Taming of the Shrew,1967,8000000.0,Nino Rota,2rwnZ4hH23XI12z5pwal2u,"['01bvzwyyT2Ib26DXQFBoo2', '6Iyz2c0k8PPvo1qvus514I', '6nA4JxRCoEr3Y19kU4JEpP', '4Q63CEsCAX5xXf28lJEIfk', '4jr2OYnEiuibnYj9UxlSB5']"
26,Wristcutters: A Love Story,2006,460136.0,Bobby Johnston,3mXyM9Mb2Sc1IibIPv8rU3,"['5PC0kmLU6GzwUEwKtDMUpv', '2i5xFQIylJiiKG1cTxDPHG', '7BpE94MLyhpSrb7mTPjAuG', '1o0tlvWYVlFphckf7oeCNT', '4ZwE9rmiJQg2MSGsg31PBn', '3iGXr3CUBX5OEjLBWIqfm4', '5n21MVrjcoYrFSSCcddwP5', '5oeDCIlaoC8punoWMxlEY2', '1fmbTLl2zr3X54HzSJD8kn', '5BENMJB5Ll82aIs1TitQhl', '1Fwr5Wt7XyD3Gx4ixPD9xR', '3fXJttc4ZtmhphnahU15JY', '1zxMjFyMGKKc8fun5Z8o5S', '2mll9VX6tcW0pH0HPoC5At', '07Kya849eWWEyH4O9Okmyv', '585Ct3DMIPFNFLpjwEPF93', '023y7WFjQXjwhhJYLZ821p', '0mqGomfFDMJPlcrJcnLQSh', '1ZrOIWrRbWZNfvjKLe37cd', '7KpuadCa4qnkttiQSTovki']"
27,Sid and Nancy,1986,2826523.0,Dan Wool,0snR1k1LKwnlp0fV5CDkyB,"['6f30rCmiQbrZprLZt7uABC', '3bw65MzxsC2Q92M6gGM8g1', '2N6MWAew03xG4aOK2z8B0Q', '7FQAtgaviZMMHLCuzAbIVD', '5efKXD8XA7SDxPwZq5DKJD', '52rHl0j7eV7ktej9TAbora', '05bQeEwgL7IUwQXi4aENh2', '4mlEXmthWY3q6Lbc0r7WEB', '1JLQsTU7EqVtbyQf11xA38', '6DNS9Kzqvu37WjvQzADVNY', '3Mw0YbpKWJc151ooEpgSYD', '4JHfzBNVbnM1VgGiXear5j', '2HVN6Tlf3jPkXyrNBGDn7x']"
28,Ek Niranjan,2009,6900000.0,Mani Sharma,6PFGJsbllSayhywxoDQ85l,"['0A1FTU98RIFEmRyvNrFNFt', '4QdALUGycjCaXbnX9BPEAf', '23IrS9Ij4teJJioTE8HBmJ', '6TSVpvJpxIc8R3OEgW4kUm', '1ov2PgxunEIe0ZoBE1DgpC', '1AW8lGeOy6gMH6bWjGzglM']"
29,Thoranai,2009,2000000.0,Mani Sharma,3GcgxapBeyGGQzSO0baXiG,"['6AtMjao7DjtU08We6lWY7O', '1ZDpvcNx6ggIgVAy4ehtd0', '4BUl8AsC1wCoqtf6YFJTjd', '0dGFJep5jPLfWdMFSbdGjo', '5aunJwBTAE7riEFPv6A0r3', '3tvvJopWUUxG3qvUgW8Vc5']"
30,The Full Monty,1997,257850122.0,Anne Dudley,1ZfTLu8PnOJJJx1yxxsYvX,"['37pUjO1uyl7z1qqlyuLlBO', '5ulMUqr0RtUXZdTMtQylET', '7yd9Q6bNj06t6ujm5mn11P', '7g6LayQfCfqt7VG4EoFFPT', '6M0ju4ZZJC5V6RkWJ8kXiw', '3at3ECsmJscVewISrtvdpB', '4XsuntqgAA53Eehbo4eOPk', '4AJb6d58z8i43Oy49gtAD7', '2m7zrCWSA3pnWqno54abrq', '4mV34adWtTNiCHy6vOdfnQ', '4PFXtmgaelef9JvneeIYMw', '0klMKubuuRJz4aoYWy6iSm', '2R1XarC7QDEQlmHawQybkJ']"
31,Monkeybone,2001,7622365.0,Anne Dudley,4xVFAjgHEVVzWWlxePcC7G,"['4qN79eI4XXUq1RAPiXfZwa', '3UZ4EKjzbpWNoh4Gmewf6b', '4WnrpPldQCPUEl0l1ZUYZF', '6RLcNbDjc7deEMWyeoUZhH', '3oF61dLlG4eeO60AeA3DD4', '4umZYIoqaappDxVv5JMr5f', '2sDJrQOydbzGhGswf7RzgW', '3r71tNszMbnG7N0qRHZOGr', '3mE5qdYrw9Wohv9X5oumks', '4XSxzQ1vN5w2uH28cOIY1T', '51Q25ScWslpcSA2rXR3RfB', '3tU9dcg7OBgfLSMgGCNL1m', '7cvTBDQwVEZ1r91eQBwqv4', '3tlRABlCb56iEcz4Eme2Zy', '4prR8SBwL1hgRC87gy2wrS', '6qqjxDSamQtWlir56I8LQz', '7j7048CS7WRxfdymyDD9zl', '0nOrF7Vq7wAV1TZ2jdm5Dk', '2t9kOUZIDwWHg37QVAcQeV', '4g3XQy86RGO5jTls1UlR9g']"
32,Belly,1998,9639390.0,Stephen Cullo,1Z4BjsVx8KRQwegUl2zJ2R,"['7d5cowEytw4DqoDYmnK6gb', '0TS2fCyCp1l9o8mLqURJcD', '6LNdLcRdwKiTzOEBxFZWfF', '1tEE5mdySYWTnNjM5ckZUc', '4KmQybRbJU8L9tkfqI5WXD', '6UWRAblZyydkRjmk07eccD', '4To7BNaRuAhnFrAWFMzDZh', '15fphOUhL5KyT8pWbP2zxA', '4jOPPcNL7OSys7SRGFK7AZ', '6t35UxLJe1COgTFIhqblny', '5erIJ5E77YVZz3boDEALKr', '0HvmFguiDdLH1ad4J1lmPx', '6zZrxujskvM5O2WvwSLp91', '6xHmgcb135hZgogyhwHr7d', '0YJQjkm6Xg5HPyas4LAIlL', '5D3hSpjeAPpA8Q76LaD1uL', '4RlXfO0hcgK4lkL3nIDF3O']"
33,Exit Wounds,2001,79958599.0,Jeff Rona,2V0Z1GkSbPWUXum9heIVe0,"['29WgoSCjoVl4wdnlxwPmw4', '7esjgZnEIzafVAguhI79Pv', '41D6VAaynpIcN6isJn3GJL', '7EllMpqpXKoifjsX3GDIgY', '3iZOeXfXgut1cYsSDfiorB', '1LuIZDpjBhh64gL1Qe8tjr', '65Vpxzy6W0daUckUVHEsra', '0uq4ShhZBkEwhRSJvNb3Bp', '5jGmvr6LYOkZHJRCH9TqFL', '3ruixVgpFCEBvO7BN8bpqF', '7xnPyASeJoMQPklEthwH2F', '20VsKuo4qEXo8SeAa3la6N', '6WmM9c5TQTrGsXRWBt6zeE', '1reo2a1GLZAH0Nl3aQ0w89', '3qcdAWxuvoaTcq8YgJKwYy', '1EhNwUYYwSFz4M9biMIpgY', '6X0yb5GAWsRdGSkgziKNL8']"
34,Mankatha,2011,28000000.0,Yuvan Shankar Raja,5SV5Wjj3CH23kMOg4VrO33,"['5HlKYvZ7iVQN3tcNSny6TN', '6wpZs56ppGrSUUcqY8UPXv', '4qbH2EQ2d3cGqtIT8gIlhG', '6YcBBZVKYYRirfeAt6BeGA', '0uVrPeEM1Q02sbGA3zJ3CC', '1A3V5KsalUFXI71DWWF0sI', '1A1YlVucS5hugYaeWXfCA8', '18gHDBhhfYzCseYrnTZUso']"
35,Thillalangadi,2010,10000000.0,Yuvan Shankar Raja,2Th6mUUOOiBCV6R0oQk0cz,"['1mPL6yEPOtL68ycNYa9CO1', '1R8eVL8opp64W7aljWa9Of', '0WGi5LbR67wPs8Xau42Jf2', '22XU2E9wAyHpKENj0qlrgn', '7HYZGozDbMIYsQEkAgoseA', '2feAOIfKfoF22T3nP8O9SB', '3dQFpx1bS3F07RshKqq9Kg']"
36,Pudhupettai,2006,5000000.0,Yuvan Shankar Raja,5Dqrc1Kqn87hjqxCeyO3qF,"['1T87UTaMxIYXbOABeVGzFS', '7aecyDhYHSpjnKtQlJMCZv', '35XdeE1H1s16ng7KdCxdwS', '5gZqN3vCFcNlGchuBtrDnZ', '2CKvjauifYdxAWrfDirfJT', '2r6OOUaTjtsvCfz1M1pn9k', '1RqGWfWvQzq18aS8nn3NSh', '6w2rFjj74PZSjd1GZAAKN8', '2BuReMWayFxh0Zzlli9cXP', '1gfMkf6sU2D52oNwsBLcJN']"
37,Pattiyal,2006,3700000.0,Yuvan Shankar Raja,0Bxj48Qz7ZHZsNguVOdZ0T,"['1TCAM9dJckLbKdEDvALvc9', '5kVjNlwI6vDvbuYJohhUqh', '0WqtsSSznJlE3nWZckitcl', '6cEIXTWcpzWdUfs7KZox3j', '4fNyHRZ9tErIkMdipIl6bp', '3dn1dBimUAxhJtXnzljrWO']"
