,movie_name,release_date,movie_revenue,composer_name,album_id,track_ids
0,Jaws 3-D,1983,87987055.0,Alan Parker,6BndxUUvNgpFD2uOJO61bJ,"['17BdpgCg7CIUiOdSOjn3Mw', '2L0CPBGQ0ew5YLzfP1nFFc', '3DEmoTEpqNO0WytKVGBSFk', '3BKemzCHBlYd7k4MklWz0T', '6rzOkNYXS5OlqReMwIYL6T', '3xVOBlw3tBMKjsCcFbYMwO', '7iQAUXinKuCuNceonAVTLd', '2vYboHGwJkunwH3LmiX09c', '3ymGLCeq219Wyj599IjPuC', '3JTr9ZGGZNTj1hk840zT9V', '2QHXX2SMj2JQogrijowwuD']"
1,Jonathan Livingston Seagull,1973,1600000.0,Neil Diamond,3WpPBSIAlElw91HMtjOOh9,"['675ABhVqTwspFQ7s8bZqv1', '79nuIMSS0eg1SQpXQv4Qn0', '2lo3lzKqnCreKCjE1Drka8', '2OscEjH4wPhSzzsb56edyU', '4wtnn2ySNQSeTVwTr98ZYN', '0CZVTal1BQSQ0jiZCdsO7k', '1byLYKIUXGmHl4FHsbBAGu', '5761RtNUutTrT4geqNThkr', '4ntYfipNJharvEMGTIhx90', '3zbnjfU5pMCl9t1kEC9Ted', '0Fx5in4sqvnToVWbq43oBh', '4sQaX3rjbNSKTHUf9biazT']"
2,Invictus,2009,122233971.0,Michael Stevens,08n7ViKJPai5AJcrzHRBOw,"['4mmvcMzMiMc883gUh2NG1A', '5RYbZrTSFecmltMHGqjTS8', '3XltDE4eIR62HKEobYvuA9', '00VhDM206ypXRMdwSM59PF', '6kQjRDCo1yjpYgnHO3rSCg', '5tqLoAwrnD4WGQvpb3LCkY', '3Pnp2SNHr0SpNwLW5XsbLm', '2Zm2uOU4CNwpXy6suy4IUj', '0dwIuX8rtx6coaXEyma8uX', '2W3yYe09sLI6HcEiHJOHwf', '6AlKCWqTmDuFlrGlFCATuq', '6GSXDb95nKL8ZQczCebHig', '5IBqwhGIXJkp2gak6NWjlI', '64KAOLYJQe69UfKcRBduSW', '5aV8lhCT4XiAjjqLaAZGA2', '2J6BtwyHhSLQHykTgONET1', '4Hhg0Ii2JkRCVtOCkFaVuU', '1pD91Rk6WglmM2SR8tGJqU']"
3,Dr. T & the Women,2000,22844291.0,Lyle Lovett,1BTRq8qDqa6prb1hgnd0NP,"['7thQwacCXrqpKBMIQKN6vj', '2PavDN1bGED898Y7juqsOR', '3MgX3Xl4NVAPTrNoIPqgv8', '4GOlcTLqycrj80JtO3QMyp', '6C31aSwwBGKeiPRit6jyi0', '6EbpCH49ba90CqjDBjRdsk', '67u1LSyZjWAVSYMAiTkj6i', '02VOtYcfnY0JZZGDNPUjm9', '5sAVTA2W4xMm24oxJOxWKJ', '53cDJP7yipEpEKnF4mjEZ4', '5NLcNiQBpNTvcFxDHMSNbL', '6wyoGqkEIP0Vkcm4pTK5jy', '0s43lTZ90pvyiKLCZUQ2j5', '6fv8Mswpf19uo4oyb5CSAE', '0HbkcROnWapsoILMHKLljq', '1waUOWAL0PF5Tab70Dx1uL']"
4,Get Rich or Die Tryin',2005,46442528.0,Quincy Jones,5D2CHiTlb8MXWJsZWXjkZf,"['7t67S1XHT4jU0GCkruG34R', '5aWlEuY1dSo4uVJgHz5reX', '6iU8jDJTT0RSlRoP5iAP7Z', '2PjixJLQjUxp9TzvCqJMGx', '10CTmUY2JXjel9amI7VgQs', '23or0MrIRJCxCCqjK2Q9Od', '4fNIUqkM1oQGRqKekqCPAY', '4wUCojsBsqeS7RTrpFKWxb', '0sTSaoK8Jzl3nbyXKQMuV8', '7rGkjh2xfOaROenGkja0Cf', '3hwwIr2pcL2IWBpEUj5Hya', '6XjhLnhPw0Z1VNDsAg9tc4', '7t54xf74SOdKnnIjK5jfKC', '2XieknkRh45OazRNJEUJJ9', '75Dad3cKI6kduvpNbr2Fu6', '1cA2LExLTdhHLL0FmXoc57', '7jdzEA44GdSp4laVCF3Ztw', '4dzoJSn9EC4F1pDmHwea3B']"
5,In Cold Blood,1967,13000000.0,Quincy Jones,7gAax1aiv5glXulIHYoVPo,"['6nN9AKEU7P3nw1Is1ld3lc', '1xCPysyZOkMJaE29J1qTH2', '3vw4wNGhLLR1850T9sR7jy', '2hJoW77oSVWrCrGBG7sq7j', '2ngBXFFOjRggectoMY5Fte', '4scm2pIPcPuQ4DWeD6R56Y', '1VL89vD4EsqLOwRcFapWue', '0rj5ZmtgoRS00UEwDXqFOK', '5bYDZKmS1fuFSPs6FLDj7J', '5omFenfqQsBHv2zQ9vK8sn', '3E7oZJEZMDXBpmwIrNSuzx', '6qkcWFQbP8XoZMXvrhYZ4M']"
6,The Pawnbroker,1965,3000000.0,Quincy Jones,2Jdv79qcL3lMYKRfTG7aBL,"['0DBfR7YjYtVUK8ypXXjcYZ', '2hH0IJRExWzCezCXdfFX1g', '5CvTpefwhhK11d1AV3WHaf', '5XhqvYCaJn0KNOEd1ekBhQ', '1cLX1oSz0miuHuQr9dXsvV', '0x8RXgnNoQIz8dOZD2sZyz', '6MuITHJIYUm7zJFNzZQA0f', '6WCn7efImNb0YqKuct8diL', '4kvS4l274Da8vUPWB0MNIA', '0nnXjqaNnGpMYbx0K5htBp', '2aMp1qKFsEv0GjSBYc9XPy']"
7,Get Rich or Die Tryin',2005,46442528.0,Quincy Jones,5D2CHiTlb8MXWJsZWXjkZf,"['7t67S1XHT4jU0GCkruG34R', '5aWlEuY1dSo4uVJgHz5reX', '6iU8jDJTT0RSlRoP5iAP7Z', '2PjixJLQjUxp9TzvCqJMGx', '10CTmUY2JXjel9amI7VgQs', '23or0MrIRJCxCCqjK2Q9Od', '4fNIUqkM1oQGRqKekqCPAY', '4wUCojsBsqeS7RTrpFKWxb', '0sTSaoK8Jzl3nbyXKQMuV8', '7rGkjh2xfOaROenGkja0Cf', '3hwwIr2pcL2IWBpEUj5Hya', '6XjhLnhPw0Z1VNDsAg9tc4', '7t54xf74SOdKnnIjK5jfKC', '2XieknkRh45OazRNJEUJJ9', '75Dad3cKI6kduvpNbr2Fu6', '1cA2LExLTdhHLL0FmXoc57', '7jdzEA44GdSp4laVCF3Ztw', '4dzoJSn9EC4F1pDmHwea3B']"
8,In Cold Blood,1967,13000000.0,Quincy Jones,7gAax1aiv5glXulIHYoVPo,"['6nN9AKEU7P3nw1Is1ld3lc', '1xCPysyZOkMJaE29J1qTH2', '3vw4wNGhLLR1850T9sR7jy', '2hJoW77oSVWrCrGBG7sq7j', '2ngBXFFOjRggectoMY5Fte', '4scm2pIPcPuQ4DWeD6R56Y', '1VL89vD4EsqLOwRcFapWue', '0rj5ZmtgoRS00UEwDXqFOK', '5bYDZKmS1fuFSPs6FLDj7J', '5omFenfqQsBHv2zQ9vK8sn', '3E7oZJEZMDXBpmwIrNSuzx', '6qkcWFQbP8XoZMXvrhYZ4M']"
9,The Pawnbroker,1965,3000000.0,Quincy Jones,2Jdv79qcL3lMYKRfTG7aBL,"['0DBfR7YjYtVUK8ypXXjcYZ', '2hH0IJRExWzCezCXdfFX1g', '5CvTpefwhhK11d1AV3WHaf', '5XhqvYCaJn0KNOEd1ekBhQ', '1cLX1oSz0miuHuQr9dXsvV', '0x8RXgnNoQIz8dOZD2sZyz', '6MuITHJIYUm7zJFNzZQA0f', '6WCn7efImNb0YqKuct8diL', '4kvS4l274Da8vUPWB0MNIA', '0nnXjqaNnGpMYbx0K5htBp', '2aMp1qKFsEv0GjSBYc9XPy']"
